Ring Size: 80
Starting Seed size: 20
Maximum travel distance: 4
Generations: 1300
Mutation rate: 100
Number of States in a SEM: 6
Average SEM Fitness:
0.9723333333333333
Sequence Name	Group	Confidence
>Sequence133 	 3 	 1.0
>Sequence134 	 3 	 1.0
>Sequence135 	 3 	 1.0
>Sequence136 	 3 	 1.0
>Sequence137 	 3 	 1.0
>Sequence138 	 3 	 0.99
>Sequence139 	 3 	 1.0
>Sequence140 	 3 	 1.0
>Sequence141 	 3 	 1.0
>Sequence142 	 3 	 0.99
>Sequence143 	 3 	 1.0
>Sequence144 	 3 	 1.0
>Sequence145 	 3 	 1.0
>Sequence146 	 3 	 1.0
>Sequence147 	 3 	 1.0
>Sequence148 	 3 	 1.0
>Sequence149 	 3 	 1.0
>Sequence150 	 4 	 1.0
>Sequence151 	 4 	 1.0
>Sequence152 	 4 	 1.0
>Sequence153 	 4 	 1.0
>Sequence154 	 4 	 0.99
>Sequence155 	 4 	 0.99
>Sequence156 	 4 	 1.0
>Sequence157 	 4 	 1.0
>Sequence158 	 4 	 1.0
>Sequence159 	 4 	 1.0
>Sequence160 	 4 	 1.0
>Sequence161 	 4 	 1.0
>Sequence162 	 4 	 1.0
>Sequence163 	 4 	 1.0
>Sequence164 	 4 	 1.0
>Sequence165 	 4 	 1.0
>Sequence166 	 4 	 0.99
>Sequence167 	 4 	 0.99
>Sequence168 	 4 	 1.0
>Sequence169 	 4 	 1.0
>Sequence170 	 4 	 1.0
>Sequence171 	 4 	 1.0
>Sequence172 	 4 	 1.0
>Sequence173 	 4 	 1.0
>Sequence174 	 4 	 1.0
>Sequence175 	 4 	 0.97
>Sequence176 	 4 	 1.0
>Sequence177 	 4 	 1.0
>Sequence178 	 4 	 1.0
>Sequence179 	 4 	 1.0
>Sequence180 	 4 	 1.0
>Sequence181 	 4 	 1.0
>Sequence182 	 4 	 1.0
>Sequence183 	 4 	 1.0
>Sequence184 	 4 	 1.0
>Sequence185 	 4 	 1.0
>Sequence186 	 4 	 1.0
>Sequence187 	 4 	 1.0
>Sequence188 	 4 	 0.94
>Sequence189 	 4 	 1.0
>Sequence190 	 4 	 1.0
>Sequence191 	 4 	 1.0
>Sequence192 	 4 	 1.0
>Sequence193 	 4 	 1.0
>Sequence194 	 4 	 1.0
>Sequence195 	 4 	 1.0
>Sequence196 	 4 	 1.0
>Sequence197 	 4 	 1.0
>Sequence198 	 4 	 1.0
>Sequence199 	 4 	 0.95
